issue_year|issue_date|fesofi_code|edifil_code|issue_name|stamp_name|stamp_face_value|stamp_size|stamp_color|stamp_perforation|stamp_artist|stamp_print_type|stamp_printer|stamp_amount_printed|number_of_stamps_in_issue|issue_description
1850|1850/01/01|0001|1|Isabel II|Isabel II|6 cuartos|19 x 23 mm|negro|Sin dentar|Bartolomé Coromina|Litografía|Fábrica Nacional del Sello|6.226.727|5|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentado, con una separación entre sellos de un milímetro, y debían ser separados a tijera. Isabel, Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Su nacimiento y posterior ascensión al trono provocó el inicio de un largo conflicto, pues su tío, Carlos María Isidro de Borbón, hasta entonces primero en la sucesión a la corona, no aceptó el que Isabel fuese nombrada primero Princesa de Asturias y luego Reina. Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad, la regencia fue asumida por su madre hasta 1840. Con trece años, Isabel fue declarada mayor de edad. Cuando la Reina tenía 16 años, el Gobierno arregló un matrimonio con su primo el infante don Francisco de Asís de Borbón, duque de Cádiz.
1850|1850/01/01|0002|2|Isabel II|Isabel II|12 cuartos|19 x 23 mm|lila|Sin dentar|Bartolomé Coromina|Litografía|Fábrica Nacional del Sello|51.926|5|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentado, con una separación entre sellos de un milímetro, y debían ser separados a tijera. Isabel, Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Su nacimiento y posterior ascensión al trono provocó el inicio de un largo conflicto, pues su tío, Carlos María Isidro de Borbón, hasta entonces primero en la sucesión a la corona, no aceptó el que Isabel fuese nombrada primero Princesa de Asturias y luego Reina. Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad, la regencia fue asumida por su madre hasta 1840. Con trece años, Isabel fue declarada mayor de edad. Cuando la Reina tenía 16 años, el Gobierno arregló un matrimonio con su primo el infante don Francisco de Asís de Borbón, duque de Cádiz.
1850|1850/01/01|0003|3|Isabel II|Isabel II|5 reales|19 x 23 mm|rojo|Sin dentar|Bartolomé Coromina|Litografía|Fábrica Nacional del Sello|47.863|5|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentado, con una separación entre sellos de un milímetro, y debían ser separados a tijera. Isabel, Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Su nacimiento y posterior ascensión al trono provocó el inicio de un largo conflicto, pues su tío, Carlos María Isidro de Borbón, hasta entonces primero en la sucesión a la corona, no aceptó el que Isabel fuese nombrada primero Princesa de Asturias y luego Reina. Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad, la regencia fue asumida por su madre hasta 1840. Con trece años, Isabel fue declarada mayor de edad. Cuando la Reina tenía 16 años, el Gobierno arregló un matrimonio con su primo el infante don Francisco de Asís de Borbón, duque de Cádiz.
1850|1850/01/01|0004|4|Isabel II|Isabel II|6 reales|19 x 23 mm|azul|Sin dentar|Bartolomé Coromina|Litografía|Fábrica Nacional del Sello|13.026|5|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentado, con una separación entre sellos de un milímetro, y debían ser separados a tijera. Isabel, Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Su nacimiento y posterior ascensión al trono provocó el inicio de un largo conflicto, pues su tío, Carlos María Isidro de Borbón, hasta entonces primero en la sucesión a la corona, no aceptó el que Isabel fuese nombrada primero Princesa de Asturias y luego Reina. Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad, la regencia fue asumida por su madre hasta 1840. Con trece años, Isabel fue declarada mayor de edad. Cuando la Reina tenía 16 años, el Gobierno arregló un matrimonio con su primo el infante don Francisco de Asís de Borbón, duque de Cádiz.
1850|1850/01/01|0005|5|Isabel II|Isabel II|10 reales|19 x 23 mm|verde|Sin dentar|Bartolomé Coromina|Litografía|Fábrica Nacional del Sello|8.443|5|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentado, con una separación entre sellos de un milímetro, y debían ser separados a tijera. Isabel, Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Su nacimiento y posterior ascensión al trono provocó el inicio de un largo conflicto, pues su tío, Carlos María Isidro de Borbón, hasta entonces primero en la sucesión a la corona, no aceptó el que Isabel fuese nombrada primero Princesa de Asturias y luego Reina. Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad, la regencia fue asumida por su madre hasta 1840. Con trece años, Isabel fue declarada mayor de edad. Cuando la Reina tenía 16 años, el Gobierno arregló un matrimonio con su primo el infante don Francisco de Asís de Borbón, duque de Cádiz.
1851|1851/01/01|0006|6|Isabel II|Isabel II|6 cuartos|19 x 23 mm|negro|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|8.785.483|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1851|1851/01/01|0007|7|Isabel II|Isabel II|12 cuartos|19 x 23 mm|lila|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|82.003|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1851|1851/01/01|0008|8|Isabel II|Isabel II|2 reales|19 x 23 mm|naranja|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|1.432|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1851|1851/01/01|0009|9|Isabel II|Isabel II|5 reales|19 x 23 mm|rosa|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|42.323|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1851|1851/01/01|0010|10|Isabel II|Isabel II|6 reales|19 x 23 mm|azul|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|10.860|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
