"issue_year"|"issue_date"|"edifil_code"|"issue_name"|"stamp_name"|"stamp_face_value"|"stamp_size"|"stamp_type"|"stamp_color"|"stamp_paper_type"|"stamp_perforation"|"stamp_artist"|"stamp_print_type"|"stamp_printer"|"issue_amount_printed"|"stamp_amount_printed"|"issue_market_value"|"stamp_market_value"|"issue_description"|"stamp_description"|"issue_notes"
"1850"|"1850/01/01"|"1"|"Isabel II"|"6 Cuartos"|"6 Cuartos"|"24x18 mm"|"Sello"|"Negro"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"|"n/a"|"6346700"|"n/a"|"12"|"Primera emisión de sellos de Correos en España, representando la efigie de la Reina Isabel II mirando a la izquierda."|"Sello de 6 cuartos negro, destinado al franqueo de cartas sencillas de hasta media onza."|"Esta serie marca el inicio del coleccionismo en España. Grabados por Bartolomé Coromina, se emitieron sin dentar y con diferentes tipos de papel. El 6 cuartos es el sello más común de la serie, mientras que los valores en reales presentan una escasez mucho mayor."
"1850"|"1850/01/01"|"2"||"1 Real"|"1 Real"|"24x18 mm"|"Sello"|"Azul"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"||"42450"|"n/a"|"100"||"Sello de 1 real azul, utilizado principalmente para correo certificado."|
"1850"|"1850/01/01"|"3"||"6 Reales"|"6 Reales"|"24x18 mm"|"Sello"|"Rojo"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"||"20000"|"n/a"|"450"||"Sello de 6 reales en color azul poso."|
"1850"|"1850/01/01"|"4"||"5 Reales"|"5 Reales"|"24x18 mm"|"Sello"|"Azul"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"||"n/a"|"n/a"|"425"||"Sello de 5 reales rojo."|
"1850"|"1850/01/01"|"5"||"10 Reales"|"10 Reales"|"24x18 mm"|"Sello"|"Verde"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"||"n/a"|"n/a"|"900"||"Sello de 10 reales verde, el valor más alto de la serie."|
||||||||||||||||||||
"1851"|"1851/01/01"|"6"|"Isabel II"|"6 Cuartos"|"6 Cuartos"|"24x18 mm"|"Sello"|"Negro"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"|"n/a"|"7561400"|"n/a"|"12"|"Segunda emisión de sellos de España, con la efigie de la Reina Isabel II con tocado de perlas y mirando a la derecha."|"Sello de 6 cuartos negro, utilizado para el franqueo de cartas ordinarias."|"Esta serie sustituye a la de 1850. El diseño fue realizado por Bartolomé Coromina y se imprimió en la Fábrica Nacional del Sello. Los valores de mercado indicados son para ejemplares usados en buen estado de conservación."
"1851"|"1851/01/01"|"7"||"1 Real"|"1 Real"|"24x18 mm"|"Sello"|"Azul"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"125"||"Sello de 1 real azul."|
"1851"|"1851/01/01"|"8"||"2 Reales"|"2 Reales"|"24x18 mm"|"Sello"|"Rojo"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"1500"||"Sello de 2 reales rojo."|
"1851"|"1851/01/01"|"9"||"5 Reales"|"5 Reales"|"24x18 mm"|"Sello"|"Rosa"|"Blanco"|"Sin dentar"|"Bartolomé Coromina"|"Litografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"375"||"Sello de 5 reales rosa."|
