issue_name|description_issue|issue_date|artist|printer|print_type|perforation|paper_type|stamp_type|notes|total_printed_issue|market_value_mnh_issue|market_value_used_issue|edifil_code|fesofi_code|motive|face_value|description_stamp|amount_printed_stamp|color|market_value_mnh_stamp|market_value_used_stamp
Isabel II|Primera emisión de sellos de España, representando a la Reina Isabel II. Esta serie marcó el inicio del servicio postal moderno en España y es una de las más emblemáticas de la filatelia española.|1850-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Litografía|Imperforado||Sello|||37500.0|2250.0|1.0|1.0|Isabel II|6 cuartos|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentar, impresos mediante litografía por la Fábrica Nacional del Sello y grabados por Bartolomé Coromina. Este sello de 6 cuartos en color negro es el valor más bajo de la primera emisión de sellos de España, destinada a la tarifa de correo ordinario.|6226727.0|negro|300.0|30.0
Isabel II|Primera emisión de sellos de España, representando a la Reina Isabel II. Esta serie marcó el inicio del servicio postal moderno en España y es una de las más emblemáticas de la filatelia española.|1850-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Litografía|Imperforado||Sello|||37500.0|2250.0|2.0|2.0|Isabel II|12 cuartos|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentar, impresos mediante litografía por la Fábrica Nacional del Sello y grabados por Bartolomé Coromina. Este sello de 12 cuartos en color lila es el segundo valor de la primera emisión de sellos de España, con una tirada significativamente menor que el valor de 6 cuartos, lo que lo hace más escaso.|51926.0|lila|2250.0|225.0
Isabel II|Primera emisión de sellos de España, representando a la Reina Isabel II. Esta serie marcó el inicio del servicio postal moderno en España y es una de las más emblemáticas de la filatelia española.|1850-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Litografía|Imperforado||Sello|||37500.0|2250.0|3.0|3.0|Isabel II|5 reales|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentar, impresos mediante litografía por la Fábrica Nacional del Sello y grabados por Bartolomé Coromina. Este sello de 5 reales en color rojo es uno de los valores más altos de la primera emisión de sellos de España, con una tirada muy limitada, lo que lo convierte en una pieza de gran interés filatélico.|47863.0|rojo|4500.0|450.0
Isabel II|Primera emisión de sellos de España, representando a la Reina Isabel II. Esta serie marcó el inicio del servicio postal moderno en España y es una de las más emblemáticas de la filatelia española.|1850-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Litografía|Imperforado||Sello|||37500.0|2250.0|4.0|4.0|Isabel II|6 reales|Los nuevos signos de franqueo se pusieron a la venta el día 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema. Los sellos hasta el año 1865 se presentan sin dentar, impresos mediante litografía por la Fábrica Nacional del Sello y grabados por Bartolomé Coromina. Este sello de 6 reales en color azul es el valor más alto de la primera emisión de sellos de España, y con la tirada más baja de toda la serie, lo que lo convierte en una de las piezas más buscadas y valiosas de la filatelia española clásica.|13026.0|azul|11250.0|1125.0
Isabel II|Primera emisión de sellos de España, representando a la Reina Isabel II. Esta serie marcó el inicio del servicio postal moderno en España y es una de las más emblemáticas de la filatelia española.|1850-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Litografía|Imperforado||Sello|||37500.0|2250.0|5.0|5.0|Isabel II|10 reales|Este sello, con la efigie de Isabel II en color verde y un valor facial de 10 reales, forma parte de la primera emisión de sellos de España, lanzada el 1 de enero de 1850. España fue el décimo país en adoptar este novedoso sistema postal. Impreso por la Fábrica Nacional del Sello mediante litografía y grabado por Bartolomé Coromina, este ejemplar es sin dentar, característica común de los sellos españoles hasta 1865. La presencia de cuatro márgenes amplios y una cancelación ligera es crucial para su valoración. La denominación de 10 reales era la más alta de esta serie inicial, destinada a franqueos de mayor coste o envíos internacionales.|8443.0|verde|6000.0|375.0
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|6.0|6.0|Isabel II|6 cuartos|Isabel II de Borbón, Reina de España entre 1833 y 1868, fue hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias. Isabel asumió el trono de España en un periodo de gran inestabilidad política. Este sello de 6 cuartos en color negro, parte de la segunda emisión de sellos de España de 1851, presenta su efigie y es uno de los valores más comunes de la serie. Fue emitido el 1 de enero de 1851, es un sello sin dentar, impreso en tipografía por la Fábrica Nacional del Sello y grabado por Bartolomé Coromina.|8785483.0|negro|225.0|15.0
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|7.0|7.0|Isabel II|12 cuartos|Isabel II de Borbón, Reina de España entre 1833 y 1868. Este sello de 12 cuartos en color lila, parte de la segunda emisión de sellos de España de 1851, presenta su efigie. Con una tirada significativamente menor que el valor de 6 cuartos, es una pieza más buscada por los coleccionistas. Fue emitido el 1 de enero de 1851, es un sello sin dentar, impreso en tipografía por la Fábrica Nacional del Sello y grabado por Bartolomé Coromina.|82003.0|lila|1500.0|90.0
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|8.0|8.0|Isabel II|2 reales|Isabel II de Borbón, Reina de España entre 1833 y 1868. Este sello de 2 reales en color naranja, parte de la segunda emisión de sellos de España de 1851, presenta su efigie. Con una tirada extremadamente limitada de solo 1.432 ejemplares, es una de las piezas clave y más valiosas de la filatelia clásica española. Su rareza lo convierte en un objeto de gran deseo para coleccionistas avanzados. Fue emitido el 1 de enero de 1851, es un sello sin dentar, impreso en tipografía por la Fábrica Nacional del Sello y grabado por Bartolomé Coromina.|1432.0|naranja|15000.0|1875.0
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|9.0|9.0|Isabel II|5 reales|Isabel II de Borbón, Reina de España entre 1833 y 1868. Este sello de 5 reales en color rosa, parte de la segunda emisión de sellos de España de 1851, presenta su efigie. Con una tirada limitada, es una pieza de considerable valor y demanda en el mercado filatélico. Fue emitido el 1 de enero de 1851, es un sello sin dentar, impreso en tipografía por la Fábrica Nacional del Sello y grabado por Bartolomé Coromina.|42323.0|rosa|3750.0|300.0
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|10.0|10.0|Isabel II|6 reales|Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España en un periodo de gran inestabilidad política. Este sello, emitido el 1 de enero de 1851, forma parte de la segunda serie de sellos postales de España, siguiendo a la histórica emisión de 1850. Fue impreso por la Fábrica Nacional del Sello mediante tipografía y grabado por Bartolomé Coromina. Al igual que todos los sellos de esta época, carece de perforación, siendo necesario recortarlos con tijeras. La serie de 1851 es fundamental para la filatelia española, marcando la consolidación del servicio postal.|10860.0|azul|900.0|150.0
